Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Aracati,249,9,74547,"0,5416","0,655","0,607","0,742","0,624"
Aracatu,4,0,13135,"0,4473","0,581","0,591","0,754","0,439"
Ara?atuba,161,5,197016,"0,54","0,788","0,782","0,841","0,744"
Araci,5,1,54379,"0,5667","0,534","0,534","0,747","0,381"
Aracoiaba,150,1,26469,"0,5175","0,615","0,55","0,759","0,556"
Ara?oiaba,30,3,20524,"0,4599","0,592","0,544","0,765","0,498"
Ara?oiaba da Serra,40,1,34146,"0,5332","0,776","0,751","0,86","0,723"
Aracruz,104,12,101220,"0,5091","0,752","0,717","0,838","0,707"
Ara?u,0,0,3522,"0,5387","0,693","0,686","0,838","0,578"
Ara?ua?,2,0,36708,"0,5748","0,663","0,633","0,821","0,56"
Aragar?as,63,0,20118,"0,4587","0,732","0,694","0,83","0,68"
Aragoi?nia,2,0,10308,"0,4724","0,684","0,683","0,837","0,56"
Aragominas,3,0,5758,"0,5422","0,593","0,611","0,739","0,461"
Araguacema,0,0,7086,"0,5704","0,639","0,587","0,805","0,553"
Aragua?u,2,1,8517,"0,512","0,675","0,642","0,796","0,602"
Aragua?na,1264,17,180470,"0,574","0,752","0,727","0,821","0,712"
Araguan?,176,0,15426,"0,5285","0,533","0,483","0,706","0,444"
Araguan?,1,0,5729,"0,5285","0,533","0,483","0,706","0,444"
Araguapaz,1,1,7770,"0,5353","0,674","0,696","0,814","0,54"
Araguari,21,1,117267,"0,4786","0,773","0,74","0,871","0,716"
Araguatins,45,9,35761,"0,5738","0,631","0,604","0,793","0,525"
Araioses,117,2,46440,"0,6072","0,521","0,497","0,709","0,402"
Arame,39,0,32701,"0,7228","0,512","0,525","0,701","0,365"
Arandu,10,2,6357,"0,3922","0,685","0,675","0,806","0,592"
Arantina,2,0,2795,"0,4232","0,697","0,633","0,834","0,641"
Arapiraca,324,12,231747,"0,5589","0,649","0,638","0,78","0,549"
Arapoema,0,0,6643,"0,5154","0,68","0,645","0,81","0,601"
Arapongas,21,1,123027,"0,4658","0,748","0,751","0,834","0,669"
Arapor?,2,0,6869,"0,4183","0,708","0,676","0,813","0,646"
